source,relation,target
aspect:w7fxCzmEywfsPdpwwjWHXg#5,hasCategory,category:Worthiness
category:Worthiness,hasSubcategory,subcategory:Waiting
subcategory:Waiting,hasOpinion,opinion:expect to wait a bit
review:w7fxCzmEywfsPdpwwjWHXg,hasExtract,aspect:w7fxCzmEywfsPdpwwjWHXg#6
aspect:w7fxCzmEywfsPdpwwjWHXg#6,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Menu
subcategory:Menu,hasOpinion,opinion:large menu of food options
review:w7fxCzmEywfsPdpwwjWHXg,hasExtract,aspect:w7fxCzmEywfsPdpwwjWHXg#7
aspect:w7fxCzmEywfsPdpwwjWHXg#7,hasCategory,category:Ambiance
category:Ambiance,hasSubcategory,subcategory:Entertainment
subcategory:Entertainment,hasDetail,detail:Music
detail:Music,hasOpinion,opinion:live bands play on Sat nights
user:bOtV-k36nNZuIiX4KCuDxA,hasReview,review:FOSwTC1so9SYwRB5tqx4uQ
business:e-fXMT8R3j7BKMTh8xn8aw,hasReview,review:FOSwTC1so9SYwRB5tqx4uQ
review:FOSwTC1so9SYwRB5tqx4uQ,hasExtract,aspect:FOSwTC1so9SYwRB5tqx4uQ#1
aspect:FOSwTC1so9SYwRB5tqx4uQ#1,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:YUMMY!
review:FOSwTC1so9SYwRB5tqx4uQ,hasExtract,aspect:FOSwTC1so9SYwRB5tqx4uQ#2
aspect:FOSwTC1so9SYwRB5tqx4uQ#2,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Size
detail:Size,hasOpinion,opinion:small portion
review:FOSwTC1so9SYwRB5tqx4uQ,hasExtract,aspect:FOSwTC1so9SYwRB5tqx4uQ#3
aspect:FOSwTC1so9SYwRB5tqx4uQ#3,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Behaviour
detail:Behaviour,hasOpinion,opinion:suggested fried rice noodles when asked for lo mien
user:McpOw3NRhoYlEms7VjrZpA,hasReview,review:WDk_bHVDS2DuAO78Sv3aog
business:1zKE9mjLqM1c7G6lxByrMA,hasReview,review:WDk_bHVDS2DuAO78Sv3aog
review:WDk_bHVDS2DuAO78Sv3aog,hasExtract,aspect:WDk_bHVDS2DuAO78Sv3aog#1
aspect:WDk_bHVDS2DuAO78Sv3aog#1,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Quality
detail:Quality,hasOpinion,opinion:pretty good
review:WDk_bHVDS2DuAO78Sv3aog,hasExtract,aspect:WDk_bHVDS2DuAO78Sv3aog#2
aspect:WDk_bHVDS2DuAO78Sv3aog#2,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Quality
detail:Quality,hasOpinion,opinion:liked my breakfast
review:WDk_bHVDS2DuAO78Sv3aog,hasExtract,aspect:WDk_bHVDS2DuAO78Sv3aog#3
aspect:WDk_bHVDS2DuAO78Sv3aog#3,hasCategory,category:Ambiance
category:Ambiance,hasSubcategory,subcategory:The Decor
subcategory:The Decor,hasOpinion,opinion:old fashioned and needs freshening up
user:d6DoRpIv0uo8JscJG33Q-A,hasReview,review:sDyJQk_R2hrcm9g6BF0iNw
business:8BhNur6_XKLjCDvbhX2CNg,hasReview,review:sDyJQk_R2hrcm9g6BF0iNw
review:sDyJQk_R2hrcm9g6BF0iNw,hasExtract,aspect:sDyJQk_R2hrcm9g6BF0iNw#1
aspect:sDyJQk_R2hrcm9g6BF0iNw#1,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Behaviour
detail:Behaviour,hasOpinion,opinion:Horrible service
review:sDyJQk_R2hrcm9g6BF0iNw,hasExtract,aspect:sDyJQk_R2hrcm9g6BF0iNw#2
aspect:sDyJQk_R2hrcm9g6BF0iNw#2,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Drink
subcategory:Drink,hasOpinion,opinion:No coke products
review:sDyJQk_R2hrcm9g6BF0iNw,hasExtract,aspect:sDyJQk_R2hrcm9g6BF0iNw#3
aspect:sDyJQk_R2hrcm9g6BF0iNw#3,hasCategory,category:Worthiness
category:Worthiness,hasSubcategory,subcategory:Waiting
subcategory:Waiting,hasOpinion,opinion:25 minutes to get a beer
user:veU-4bglmxVg0PtkZRBETg,hasReview,review:p9_TlU9rdXo1wP66OjwgAQ
business:Xd3TetLYlPfiIbYA4EpGMQ,hasReview,review:p9_TlU9rdXo1wP66OjwgAQ
review:p9_TlU9rdXo1wP66OjwgAQ,hasExtract,aspect:p9_TlU9rdXo1wP66OjwgAQ#1
aspect:p9_TlU9rdXo1wP66OjwgAQ#1,hasCategory,category:Ambiance
category:Ambiance,hasSubcategory,subcategory:Environment
subcategory:Environment,hasDetail,detail:Type
detail:Type,hasOpinion,opinion:more coffee shop than bar
review:p9_TlU9rdXo1wP66OjwgAQ,hasExtract,aspect:p9_TlU9rdXo1wP66OjwgAQ#2
aspect:p9_TlU9rdXo1wP66OjwgAQ#2,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Menu
subcategory:Menu,hasOpinion,opinion:decent menu of small items
review:p9_TlU9rdXo1wP66OjwgAQ,hasExtract,aspect:p9_TlU9rdXo1wP66OjwgAQ#3
aspect:p9_TlU9rdXo1wP66OjwgAQ#3,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Drink
subcategory:Drink,hasDetail,detail:Size
detail:Size,hasOpinion,opinion:large French press
review:p9_TlU9rdXo1wP66OjwgAQ,hasExtract,aspect:p9_TlU9rdXo1wP66OjwgAQ#4
aspect:p9_TlU9rdXo1wP66OjwgAQ#4,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Drink
subcategory:Drink,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:smokiness and depth
review:p9_TlU9rdXo1wP66OjwgAQ,hasExtract,aspect:p9_TlU9rdXo1wP66OjwgAQ#5
aspect:p9_TlU9rdXo1wP66OjwgAQ#5,hasCategory,category:Ambiance
category:Ambiance,hasSubcategory,subcategory:Entertainment
subcategory:Entertainment,hasDetail,detail:Music
detail:Music,hasOpinion,opinion:chill
review:p9_TlU9rdXo1wP66OjwgAQ,hasExtract,aspect:p9_TlU9rdXo1wP66OjwgAQ#6
aspect:p9_TlU9rdXo1wP66OjwgAQ#6,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Behaviour
detail:Behaviour,hasOpinion,opinion:very friendly
user:x5LjRVUg9d6RXiqbxVoqbw,hasReview,review:Podb0KH-wQDOhpqxPQeHbw
business:HKdAOvtDv47zPjceCjbz4Q,hasReview,review:Podb0KH-wQDOhpqxPQeHbw
review:Podb0KH-wQDOhpqxPQeHbw,hasExtract,aspect:Podb0KH-wQDOhpqxPQeHbw#1
aspect:Podb0KH-wQDOhpqxPQeHbw#1,hasCategory,category:Food
