id,label,value,text
subcategory:Dessert,Subcategory,Dessert,
opinion:Delicious cannolis,Opinion,Delicious cannolis,
aspect:cfxz5W2Hv9xP3xj3tGhGUg#3,Aspect,,
opinion:great burgers,Opinion,great burgers,
aspect:cfxz5W2Hv9xP3xj3tGhGUg#4,Aspect,,
subcategory:Price,Subcategory,Price,
opinion:Prices are slightly high,Opinion,Prices are slightly high,
aspect:cfxz5W2Hv9xP3xj3tGhGUg#5,Aspect,,
subcategory:Places or Areas,Subcategory,Places or Areas,
detail:Patio,Detail,Patio,
opinion:sitting on the back deck in the summer,Opinion,sitting on the back deck in the summer,
aspect:cfxz5W2Hv9xP3xj3tGhGUg#6,Aspect,,
subcategory:Outside view,Subcategory,Outside view,
opinion:looks over the Delaware river,Opinion,looks over the Delaware river,
review:XGw6HvyQ3lp9M_LkXDSoqw,Review,,"I've been here at least a half dozen times. The food is amazing, but the majority of the people are total jerks. Specifically one dude, complete butthole and totally condescending. I get that the service industry can be hard, but I guarantee the owner wouldn't want him talking to people the way he does, unless he is the owner."
user:01uDjmkqP32bTkCHuWIKBA,User,,
business:zwGzwkVeYXE-tRisb8if7A,Business,,
aspect:XGw6HvyQ3lp9M_LkXDSoqw#1,Aspect,,
opinion:food is amazing,Opinion,food is amazing,
aspect:XGw6HvyQ3lp9M_LkXDSoqw#2,Aspect,,
opinion:people are total jerks and condescending,Opinion,people are total jerks and condescending,
review:Xq1YzSK_Lsp6wKsOURvuhw,Review,,"Was looking forward to having dinner.   We were seated and it took 10 minutes for any one to notice us. Another 30 minutes before we were served. 

Food have had better, mashed potatoes bland no flavor, steak mediocre. 

Was disappointed."
user:KmFEsn5dCHB2ftRP_AQGJA,User,,
business:mzx-_gDf2Wb3tuSmpXZMiw,Business,,
aspect:Xq1YzSK_Lsp6wKsOURvuhw#1,Aspect,,
opinion:took 10 minutes for anyone to notice us and another 30 minutes before we were served,Opinion,took 10 minutes for anyone to notice us and another 30 minutes before we were served,
aspect:Xq1YzSK_Lsp6wKsOURvuhw#2,Aspect,,
opinion:mashed potatoes bland no flavor,Opinion,mashed potatoes bland no flavor,
aspect:Xq1YzSK_Lsp6wKsOURvuhw#3,Aspect,,
opinion:steak mediocre,Opinion,steak mediocre,
review:w7fxCzmEywfsPdpwwjWHXg,Review,,"Not sure why it took me so long to write a review on The Brew Brother's as its been our staple first night dinner for my annual guys trip every Jan.  I happened to stay one night this past week at the Eldo as I had an early flight out the next morning and took my wife as we had been in Tahoe for the week. The Brew Brother's is consistently good and reasonably priced.  They have a large menu of food options and between all of the guys we have tried probably almost everything on it and not been disappointed. As for their beer I'm an IPA snob and their Big Dog IPA is just ok IMO but I still typically get it.  Their wood fire pizza's are solid, burgers, asian chicken salad, french onion dip sammy.....you name it, its good. Its usually pretty crowded on Fri/Sat nights so if you have a big group expect to wait a bit. I believe they also still have live bands play on Sat nights as well. If you find yourself hungry at the Eldorado Reno give it a try."
user:mlcWIhar-X1qk5ZH8SQ4gQ,User,,
business:diwwt5QBU3-Thig9SVlsOA,Business,,
aspect:w7fxCzmEywfsPdpwwjWHXg#1,Aspect,,
opinion:solid,Opinion,solid,
aspect:w7fxCzmEywfsPdpwwjWHXg#2,Aspect,,
opinion:good,Opinion,good,
aspect:w7fxCzmEywfsPdpwwjWHXg#3,Aspect,,
opinion:just ok,Opinion,just ok,
aspect:w7fxCzmEywfsPdpwwjWHXg#4,Aspect,,
opinion:reasonably priced,Opinion,reasonably priced,
aspect:w7fxCzmEywfsPdpwwjWHXg#5,Aspect,,
opinion:expect to wait a bit,Opinion,expect to wait a bit,
aspect:w7fxCzmEywfsPdpwwjWHXg#6,Aspect,,
subcategory:Menu,Subcategory,Menu,
opinion:large menu of food options,Opinion,large menu of food options,
aspect:w7fxCzmEywfsPdpwwjWHXg#7,Aspect,,
subcategory:Entertainment,Subcategory,Entertainment,
detail:Music,Detail,Music,
opinion:live bands play on Sat nights,Opinion,live bands play on Sat nights,
review:FOSwTC1so9SYwRB5tqx4uQ,Review,,"Was in the mood for a noodle dish (e.g., lo mien). The server said they didn't have anything quite like that but suggested the FRIED RICE NOODLES (ground lamb, shiitake, greens, egg, basil, nuoc cham). Got a small portion to go. YUMMY! And if this was a ""small"" portion, I can't imagine what a large is like. Was the perfect side for some fish and salad that I had waiting at home :-)"
user:bOtV-k36nNZuIiX4KCuDxA,User,,
business:e-fXMT8R3j7BKMTh8xn8aw,Business,,
aspect:FOSwTC1so9SYwRB5tqx4uQ#1,Aspect,,
opinion:YUMMY!,Opinion,YUMMY!,
aspect:FOSwTC1so9SYwRB5tqx4uQ#2,Aspect,,
opinion:small portion,Opinion,small portion,
aspect:FOSwTC1so9SYwRB5tqx4uQ#3,Aspect,,
opinion:suggested fried rice noodles when asked for lo mien,Opinion,suggested fried rice noodles when asked for lo mien,
review:WDk_bHVDS2DuAO78Sv3aog,Review,,Mimi's Cafe is a place I've been coming to since I was small. I recall getting dirt in a cup and got scared. I think it real dirt and worms. It was a fond memory. The food is still pretty good. I liked my breakfast. There are some things that can be improved like decor wise. It's pretty old fashioned. Like maybe something to just freshen up the space. But it's still a good place to go.
user:McpOw3NRhoYlEms7VjrZpA,User,,
business:1zKE9mjLqM1c7G6lxByrMA,Business,,
aspect:WDk_bHVDS2DuAO78Sv3aog#1,Aspect,,
aspect:WDk_bHVDS2DuAO78Sv3aog#2,Aspect,,
opinion:liked my breakfast,Opinion,liked my breakfast,
aspect:WDk_bHVDS2DuAO78Sv3aog#3,Aspect,,
subcategory:The Decor,Subcategory,The Decor,
opinion:old fashioned and needs freshening up,Opinion,old fashioned and needs freshening up,
review:sDyJQk_R2hrcm9g6BF0iNw,Review,,"Horrible service. No coke products. Never again. 


25 minutes to get a beer after they told me my first two choices were out. 

Total incompetence. Avoid!"
user:d6DoRpIv0uo8JscJG33Q-A,User,,
business:8BhNur6_XKLjCDvbhX2CNg,Business,,
aspect:sDyJQk_R2hrcm9g6BF0iNw#1,Aspect,,
opinion:Horrible service,Opinion,Horrible service,
aspect:sDyJQk_R2hrcm9g6BF0iNw#2,Aspect,,
opinion:No coke products,Opinion,No coke products,
aspect:sDyJQk_R2hrcm9g6BF0iNw#3,Aspect,,
opinion:25 minutes to get a beer,Opinion,25 minutes to get a beer,
review:p9_TlU9rdXo1wP66OjwgAQ,Review,,"I'll throw it out there and say this is a joint for the hipster-ish crowd. I'm far from cool, but I still felt pretty at home there. Foam seems to be more coffee shop than bar, which is all good. There was an array of pastries and a decent menu of small items...spiced nuts, olives, a meat and cheese platter. I had just eaten a late lunch at Urban Eats, and didn't get to try any of the food items, but I will next time.

 I ordered a large French press, and let me tell you, that son-of-a-bitch is large and in charge. I got the whole pot. I'm a fan of Peet's, which I love for its smokiness and depth. The coffee at Foam reminded me a lot of Peet's, and that's also a good thing. The music playing was chill, the atmosphere relaxed, and the staff very friendly. I think Foam will do well (but they do need recycling bins!)"
user:veU-4bglmxVg0PtkZRBETg,User,,
business:Xd3TetLYlPfiIbYA4EpGMQ,Business,,
aspect:p9_TlU9rdXo1wP66OjwgAQ#1,Aspect,,
opinion:more coffee shop than bar,Opinion,more coffee shop than bar,
aspect:p9_TlU9rdXo1wP66OjwgAQ#2,Aspect,,
opinion:decent menu of small items,Opinion,decent menu of small items,
aspect:p9_TlU9rdXo1wP66OjwgAQ#3,Aspect,,
opinion:large French press,Opinion,large French press,
aspect:p9_TlU9rdXo1wP66OjwgAQ#4,Aspect,,
opinion:smokiness and depth,Opinion,smokiness and depth,
aspect:p9_TlU9rdXo1wP66OjwgAQ#5,Aspect,,
opinion:chill,Opinion,chill,
aspect:p9_TlU9rdXo1wP66OjwgAQ#6,Aspect,,
opinion:very friendly,Opinion,very friendly,
review:Podb0KH-wQDOhpqxPQeHbw,Review,,"I loved this place. The open air, the great bar, and the food!! I had the red beans and rice and a french 75 for a cocktail(my first ever). Our waitress was awesome and super fun. The place was pretty crowded but I didnt feel crowded. The noise level was perfect and the ambiance was great. I couldnt of asked for more!"
user:x5LjRVUg9d6RXiqbxVoqbw,User,,
business:HKdAOvtDv47zPjceCjbz4Q,Business,,
aspect:Podb0KH-wQDOhpqxPQeHbw#1,Aspect,,
opinion:red beans and rice was delicious,Opinion,red beans and rice was delicious,
aspect:Podb0KH-wQDOhpqxPQeHbw#2,Aspect,,
opinion:French 75 cocktail was great,Opinion,French 75 cocktail was great,
aspect:Podb0KH-wQDOhpqxPQeHbw#3,Aspect,,
opinion:waitress was awesome and super fun,Opinion,waitress was awesome and super fun,
aspect:Podb0KH-wQDOhpqxPQeHbw#4,Aspect,,
detail:Bar,Detail,Bar,
opinion:great bar,Opinion,great bar,
aspect:Podb0KH-wQDOhpqxPQeHbw#5,Aspect,,
opinion:open air,Opinion,open air,
aspect:Podb0KH-wQDOhpqxPQeHbw#6,Aspect,,
opinion:noise level was perfect,Opinion,noise level was perfect,
review:5xpekr-ZcbCnQXo166OwEA,Review,,"The service was good, food was excellent! We would order the ribs, ribeye w/ shrimp, and the steak bites again, everything was cooked perfect. We ordered a mango margarita with an extra shot and it was good, more lime and tajin would be better! Pricing was very fair, given how good it was. The only thing I did not like, was that you had to go through the app and it was not very user friendly so we called the restaurant instead and it took quite a while to get ahold of somebody. Overall, would definitely come again!"
user:K6jCHmIqUdMcOrn0BQvQRA,User,,
business:-e1BUAOBk9RAu89c6uTyGA,Business,,
aspect:5xpekr-ZcbCnQXo166OwEA#1,Aspect,,
aspect:5xpekr-ZcbCnQXo166OwEA#2,Aspect,,
opinion:excellent,Opinion,excellent,
aspect:5xpekr-ZcbCnQXo166OwEA#3,Aspect,,
detail:Cooking Level,Detail,Cooking Level,
opinion:cooked perfect,Opinion,cooked perfect,
aspect:5xpekr-ZcbCnQXo166OwEA#4,Aspect,,
aspect:5xpekr-ZcbCnQXo166OwEA#5,Aspect,,
aspect:5xpekr-ZcbCnQXo166OwEA#6,Aspect,,
aspect:5xpekr-ZcbCnQXo166OwEA#7,Aspect,,
opinion:very fair,Opinion,very fair,
aspect:5xpekr-ZcbCnQXo166OwEA#8,Aspect,,
detail:Ordering Method,Detail,Ordering Method,
opinion:app not very user friendly,Opinion,app not very user friendly,
aspect:5xpekr-ZcbCnQXo166OwEA#9,Aspect,,
opinion:took quite a while to get ahold of somebody,Opinion,took quite a while to get ahold of somebody,
aspect:5xpekr-ZcbCnQXo166OwEA#10,Aspect,,
opinion:would definitely come again,Opinion,would definitely come again,
review:lNU7YEy9Hg5PUs9vUBgu0A,Review,,"Listen, I'm all about food , the food was good, it didn't blow me away. The atmosphere was cool, I liked the decor. The waitress was clearly new to serving and I felt bad for how terrible the bar staff was. Literally not one person sitting at the bar, and 3 bartenders behind the bar and drinks took average of 10-15 mins. We literally sat there watching them on their phones, hanging out while our waitress waited at end of the bar, for 10 mins.. for a beer and a glass of wine... also would love to see an earlier happy hour"
user:hrnCp56anc0ov7L97Et7Wg,User,,
business:ZQc6EvnfQXtIK-8w-d0N5Q,Business,,
aspect:lNU7YEy9Hg5PUs9vUBgu0A#1,Aspect,,
"opinion:good, it didn't blow me away",Opinion,"good, it didn't blow me away",
aspect:lNU7YEy9Hg5PUs9vUBgu0A#2,Aspect,,
opinion:liked the decor,Opinion,liked the decor,
aspect:lNU7YEy9Hg5PUs9vUBgu0A#3,Aspect,,
opinion:waitress was clearly new to serving,Opinion,waitress was clearly new to serving,
aspect:lNU7YEy9Hg5PUs9vUBgu0A#4,Aspect,,
opinion:terrible the bar staff was,Opinion,terrible the bar staff was,
aspect:lNU7YEy9Hg5PUs9vUBgu0A#5,Aspect,,
"opinion:not one person sitting at the bar, only 3 bartenders",Opinion,"not one person sitting at the bar, only 3 bartenders",
aspect:lNU7YEy9Hg5PUs9vUBgu0A#6,Aspect,,
opinion:drinks took an average of 10-15 mins,Opinion,drinks took an average of 10-15 mins,
aspect:lNU7YEy9Hg5PUs9vUBgu0A#7,Aspect,,
opinion:bartenders were watching their phones while waiting,Opinion,bartenders were watching their phones while waiting,
aspect:lNU7YEy9Hg5PUs9vUBgu0A#8,Aspect,,
category:Discount/Offer,Category,Discount/Offer,
subcategory:Happy Hours,Subcategory,Happy Hours,
opinion:would love to see an earlier happy hour,Opinion,would love to see an earlier happy hour,
review:rgtwAt5gGfeGtriUTKpEUg,Review,,"Ate dinner here and it was great!  Everything tasted fresh and delicious.  I started with the crawfish bisque.  It was really good had a nice spice to it.  It also has a very good piece of crawfish bread in the soup.  I had ricotta gnocchi.  It had a fresh corn and summer squash with a pesto sauce.  It was great.  My wife had the seafood platter. It was different from most seafood platters.  It had fried catfish, crab beignets, crawfish bread and marinated shrimp.  It was delicious.  For dessert we had the house made ice cream cookie sandwiches.  This place is definitely a hidden gem on the Westbank."
user:3EXL6Hg9hSz-Hesgwmw5Qw,User,,
business:Ef2bzjkqUHBefPKHsMbDaQ,Business,,
aspect:rgtwAt5gGfeGtriUTKpEUg#1,Aspect,,
opinion:fresh and delicious,Opinion,fresh and delicious,
aspect:rgtwAt5gGfeGtriUTKpEUg#2,Aspect,,
opinion:nice spice,Opinion,nice spice,
aspect:rgtwAt5gGfeGtriUTKpEUg#3,Aspect,,
opinion:very good piece of crawfish bread,Opinion,very good piece of crawfish bread,
aspect:rgtwAt5gGfeGtriUTKpEUg#4,Aspect,,
opinion:great ricotta gnocchi,Opinion,great ricotta gnocchi,
aspect:rgtwAt5gGfeGtriUTKpEUg#5,Aspect,,
opinion:delicious seafood platter,Opinion,delicious seafood platter,
aspect:rgtwAt5gGfeGtriUTKpEUg#6,Aspect,,
opinion:house made ice cream cookie sandwiches,Opinion,house made ice cream cookie sandwiches,
aspect:rgtwAt5gGfeGtriUTKpEUg#7,Aspect,,
opinion:hidden gem on the Westbank,Opinion,hidden gem on the Westbank,
review:T3Borxd4qJ75v_QudlmnWw,Review,,"Good meat, I had the Gyro Kebab Sandwich, delicious bread, & divine sauces.. The Skhug is my favorite, a spicy cilantro purée.  Belgian fries and quite good, but I really enjoyed the beet fries, spiced just right w/ a little coarse salt.  The menu is simple and not everything is available yet, they just opened.  The drink offerings are limited, but they do offer wine service for a few bucks.  Great eats for takeout or just before going out for the evening. *edit* They are now open for lunch and are expanding hours soon.  The Doner Kebab has become my favorite along with the house salad and the hummus..! Adding that Sixth STAR!!"
user:kpR8VABjwRMDVGqCZdZBRA,User,,
business:2VFytje8_davOPXcHFx_ow,Business,,
aspect:T3Borxd4qJ75v_QudlmnWw#1,Aspect,,
opinion:Good meat,Opinion,Good meat,
aspect:T3Borxd4qJ75v_QudlmnWw#2,Aspect,,
opinion:delicious bread,Opinion,delicious bread,
aspect:T3Borxd4qJ75v_QudlmnWw#3,Aspect,,
opinion:divine sauces,Opinion,divine sauces,
aspect:T3Borxd4qJ75v_QudlmnWw#4,Aspect,,
opinion:spicy cilantro purée (Skhug) is my favorite,Opinion,spicy cilantro purée (Skhug) is my favorite,
aspect:T3Borxd4qJ75v_QudlmnWw#5,Aspect,,
opinion:Belgian fries are quite good,Opinion,Belgian fries are quite good,
aspect:T3Borxd4qJ75v_QudlmnWw#6,Aspect,,
opinion:beet fries spiced just right with a little coarse salt,Opinion,beet fries spiced just right with a little coarse salt,
aspect:T3Borxd4qJ75v_QudlmnWw#7,Aspect,,
opinion:Doner Kebab has become my favorite,Opinion,Doner Kebab has become my favorite,
aspect:T3Borxd4qJ75v_QudlmnWw#8,Aspect,,
opinion:house salad is a favorite,Opinion,house salad is a favorite,
aspect:T3Borxd4qJ75v_QudlmnWw#9,Aspect,,
opinion:hummus is a favorite,Opinion,hummus is a favorite,
aspect:T3Borxd4qJ75v_QudlmnWw#10,Aspect,,
opinion:menu is simple and not everything is available yet,Opinion,menu is simple and not everything is available yet,
aspect:T3Borxd4qJ75v_QudlmnWw#11,Aspect,,
opinion:now open for lunch and expanding hours soon,Opinion,now open for lunch and expanding hours soon,
aspect:T3Borxd4qJ75v_QudlmnWw#12,Aspect,,
opinion:wine service for a few bucks,Opinion,wine service for a few bucks,
aspect:T3Borxd4qJ75v_QudlmnWw#13,Aspect,,
detail:Stars given by customers,Detail,Stars given by customers,
opinion:Sixth STAR!!,Opinion,Sixth STAR!!,
review:iqfGODgGO739-UwtpvfGBQ,Review,,"If I could give a negative 100 I would. This one of the most incompetent McDonald's establishments. Their employees don't listen so orders are ALWAYS wrong. Yet they blame the customer' instead of admitting their mistakes. If a short black woman with missing teeth attempts to take your order, go to a different line because she WILL MESS YOUR ORDER UP AND BLAME IT ON THE CUSTOMER. Whoever owns this shitty franchisee needs to do a staff overhaul and find more competent employees. This location WILL NEVER get another dime from me, I refuse to contribute to an incompetent employees paycheck. Fuck this location and their employees, especially that snagglepuss they have taking orders."
user:2Qs_-DANX0F04In1Vpzfaw,User,,
business:WXvQTyjP4lL94K9aauWVmw,Business,,
aspect:iqfGODgGO739-UwtpvfGBQ#1,Aspect,,
"opinion:employees don't listen and always get orders wrong, blaming the customer",Opinion,"employees don't listen and always get orders wrong, blaming the customer",
aspect:iqfGODgGO739-UwtpvfGBQ#2,Aspect,,
"opinion:I would give a negative 100, will never return",Opinion,"I would give a negative 100, will never return",
review:h3HUPE2hC4UMfSP1F95ssQ,Review,,Horrible service ..... Food presentation is poor.... tastes horrible and also cold like it was taken from the freezer and served like that. Don't patronize... don't waste your hard earned money.... the steak was bland & dry.... coleslaw had a funny smell like it was stale & spoilt! The rice looked like vomit and the grilled shrimps was tasteless and COLD. I was so appalled. This restaurant needs to be shut down
